Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1785041029,50,,Aggregated,7.200000,6.500000,5,6,6,6,8,16,46,52,55,55,55,647,524,5,6.613864512485057,2.30620801448822,54.66108396649361,32.403400309119014
1785041030,50,,Aggregated,7.000000,6.200000,5,6,6,6,8,16,45,52,55,55,55,654,531,5,6.5928665347559665,2.30620801448822,54.66108396649361,32.38837920489296
1785041031,50,,Aggregated,6.800000,6.000000,5,6,6,6,8,16,45,52,55,55,55,664,540,5,6.576972521970565,2.30620801448822,54.66108396649361,32.36144578313253
1785041032,50,,Aggregated,7.200000,6.300000,5,6,6,6,8,16,45,52,55,55,55,671,547,5,6.562704738471019,2.30620801448822,54.66108396649361,32.34724292101341
1785041034,50,,Aggregated,7.200000,6.500000,5,6,6,6,8,16,45,52,55,55,55,679,553,5,6.5434952808299895,2.30620801448822,54.66108396649361,32.31958762886598
1785041035,50,,Aggregated,7.700000,7.100000,5,6,6,6,8,16,45,52,55,55,55,682,556,5,6.53644190275703,2.30620801448822,54.66108396649361,32.313782991202345
1785041036,50,,Aggregated,7.600000,7.000000,5,6,6,6,8,16,45,52,55,55,55,689,561,5,6.5225441504204955,2.30620801448822,54.66108396649361,32.288824383164005
1785041037,50,,Aggregated,6.700000,6.200000,5,6,6,6,8,16,45,52,55,55,55,698,570,5,6.497338413691847,2.30620801448822,54.66108396649361,32.27220630372493
1785041038,50,,Aggregated,6.700000,6.200000,5,6,6,6,8,16,45,52,55,55,55,706,576,5,6.484895132821074,2.30620801448822,54.66108396649361,32.24645892351275
1785041039,50,,Aggregated,7.000000,6.300000,5,6,6,6,8,16,45,52,55,55,55,714,583,5,6.472421750355856,2.30620801448822,54.66108396649361,32.226890756302524
1785041040,50,,Aggregated,7.200000,6.500000,5,6,6,6,8,16,45,52,55,55,55,723,592,5,6.450894312227189,2.30620801448822,54.66108396649361,32.211618257261414
1785041041,50,,Aggregated,7.800000,6.900000,5,6,6,6,8,16,45,52,55,55,55,736,596,5,6.5437663138057,2.30620801448822,54.66108396649361,32.52173913043478
1785041042,50,,Aggregated,7.800000,6.900000,5,6,6,6,9,16,25,52,55,55,55,751,602,5,6.644772864213479,2.30620801448822,54.66108396649361,32.86284953395473
1785041043,50,,Aggregated,7.600000,6.800000,5,6,6,6,10,16,45,52,76,76,76,759,606,5,6.785719483668704,2.30620801448822,76.004583039321,32.9604743083004
1785041044,50,,Aggregated,8.700000,6.200000,5,6,6,6,10,16,45,52,76,76,76,771,615,5,6.753678776954341,2.30620801448822,76.004583039321,32.91439688715953
1785041045,50,,Aggregated,8.700000,6.200000,5,6,6,6,10,16,45,52,76,76,76,778,621,5,6.741887645001085,2.30620801448822,76.004583039321,32.89203084832905
1785041046,50,,Aggregated,8.800000,5.900000,5,6,6,6,10,16,45,52,76,76,76,780,621,5,6.741984513922571,2.30620801448822,76.004583039321,32.87692307692308
1785041047,50,,Aggregated,9.100000,6.100000,5,6,6,6,9,16,45,52,76,76,76,782,621,5,6.741554406501324,2.30620801448822,76.004583039321,32.8618925831202
1785041048,50,,Aggregated,9.100000,6.000000,5,6,6,6,9,16,45,52,76,76,76,792,631,5,6.7176806144863175,2.30620801448822,76.004583039321,32.83838383838384
1785041049,50,,Aggregated,9.100000,6.000000,5,6,6,6,9,16,32,52,76,76,76,804,643,5,6.689987362846639,2.30620801448822,76.004583039321,32.81094527363184
1785041050,50,,Aggregated,8.500000,5.200000,5,6,6,6,9,16,32,52,76,76,76,818,654,5,6.658151188909707,2.30620801448822,76.004583039321,32.76528117359413
1785041051,50,,Aggregated,8.400000,5.300000,5,6,6,6,9,16,32,52,76,76,76,827,661,5,6.640586715012546,2.30620801448822,76.004583039321,32.73639661426844
1785041052,50,,Aggregated,9.500000,6.200000,5,6,6,6,9,16,32,52,76,76,76,834,666,5,6.634104071180526,2.30620801448822,76.004583039321,32.71223021582734
1785041053,50,,Aggregated,9.500000,6.200000,5,6,6,6,9,16,32,52,76,76,76,838,669,5,6.627133955205468,2.30620801448822,76.004583039321,32.69928400954654
1785041054,50,,Aggregated,9.200000,6.600000,5,6,6,6,8,16,32,52,76,76,76,843,672,5,6.621928287621406,2.30620801448822,76.004583039321,32.679715302491104
1785041055,50,,Aggregated,7.900000,6.300000,5,6,6,6,8,16,32,52,76,76,76,848,677,5,6.611173993491629,2.30620801448822,76.004583039321,32.66981132075472
1785041056,50,,Aggregated,7.900000,6.300000,5,6,6,6,8,16,25,52,76,76,76,860,689,5,6.580677719212809,2.30620801448822,76.004583039321,32.646511627906975
1785041057,50,,Aggregated,7.300000,5.800000,5,6,6,6,8,16,25,52,76,76,76,866,693,5,6.575708050070025,2.30620801448822,76.004583039321,32.62586605080831
1785041058,50,,Aggregated,8.000000,6.800000,5,6,6,6,8,16,25,52,76,76,76,877,702,5,6.560659404268473,2.30620801448822,76.004583039321,32.596351197263395
1785041059,50,,Aggregated,8.400000,7.200000,5,6,6,6,8,16,25,52,76,76,76,885,710,5,6.546035741119104,2.30620801448822,76.004583039321,32.5819209039548
